iter	MultiClass
0	0.9678382493
1	0.867268033
2	0.7862428462
3	0.7190656676
4	0.6643456839
5	0.6166351267
6	0.5759331692
7	0.5400515302
8	0.5088927425
9	0.4814310173
10	0.4571235705
11	0.4361638642
12	0.4166613105
13	0.4003540284
14	0.3849448134
15	0.3716713765
16	0.3595544025
17	0.348840011
18	0.3387051446
19	0.3296631287
20	0.3213253419
21	0.3136466123
22	0.3069062909
23	0.3002757106
24	0.2945838562
25	0.2898555571
26	0.2849397513
27	0.2806003263
28	0.2763349725
29	0.2723571107
30	0.2688588301
31	0.265566734
32	0.2624563616
33	0.2596575431
34	0.2572295787
35	0.2548207121
36	0.2528200149
37	0.2507369589
38	0.2487782529
39	0.2470942893
40	0.2453177742
41	0.2436677847
42	0.2428924905
43	0.2416018197
44	0.2403921854
45	0.2390546318
46	0.2379763404
47	0.2370205502
48	0.236141644
49	0.2351992079
50	0.2345369455
51	0.2337359748
52	0.2327290369
53	0.2322205518
54	0.2315070293
55	0.2306628842
56	0.2299371976
57	0.2291749937
58	0.2285247703
59	0.228207641
60	0.2276841612
61	0.2269710012
62	0.2264048207
63	0.2258622642
64	0.2253889568
65	0.2247973078
66	0.2243545892
67	0.2238407301
68	0.2233673238
69	0.2229128285
70	0.2224342498
71	0.2220839523
72	0.2217491754
73	0.2214200498
74	0.2211750043
75	0.2207738431
76	0.2203664883
77	0.2199272206
78	0.2196113427
79	0.2192930933
80	0.2190022889
81	0.2186655533
82	0.2184033595
83	0.2181609976
84	0.2179706292
85	0.2176511152
86	0.2174060429
87	0.2171792365
88	0.216953055
89	0.2167237087
90	0.2164413246
91	0.2162302663
92	0.2160063126
93	0.2157113846
94	0.2154885476
95	0.2152556758
96	0.2149789192
97	0.2147181754
98	0.2144946908
99	0.2142396894
100	0.2139732934
101	0.2137678555
102	0.2136026397
103	0.2134234809
104	0.2133007446
105	0.2131544541
106	0.2129474502
107	0.2127470894
108	0.2125664366
109	0.2123935547
110	0.2121344582
111	0.2119378902
112	0.2117734996
113	0.2115026547
114	0.2112340746
115	0.2110662053
116	0.2108978222
117	0.2107258991
118	0.2105503299
119	0.2103991017
120	0.2102661975
121	0.2101605159
122	0.2100528695
123	0.2099144223
124	0.2097917036
125	0.2096735434
126	0.2094860149
127	0.2094063613
128	0.2092833909
129	0.2091939043
130	0.2090021525
131	0.2088300512
132	0.2086961078
133	0.2085836498
134	0.2084620677
135	0.2084152021
136	0.208264759
137	0.2080691043
138	0.2079620268
139	0.2078792366
140	0.2077744718
141	0.2076093899
142	0.2074970762
143	0.2074262335
144	0.2072306043
145	0.2071362681
146	0.2070679274
147	0.2070108992
148	0.2069286408
149	0.2068634592
150	0.2067452729
151	0.2066074043
152	0.2064694771
153	0.2064078218
154	0.2062612255
155	0.2061581693
156	0.2061050889
157	0.2059453005
158	0.2057405439
159	0.2056600422
160	0.2055781768
161	0.2055292819
162	0.2054181442
163	0.2053519587
