iter	Passed	Remaining
0	55	11129
1	114	11288
2	167	11002
3	226	11112
4	286	11156
5	339	10969
6	399	11020
7	462	11110
8	519	11027
9	573	10901
10	633	10879
11	690	10816
12	746	10734
13	804	10683
14	881	10867
15	954	10972
16	1015	10929
17	1074	10863
18	1138	10849
19	1195	10762
20	1252	10676
21	1314	10635
22	1375	10588
23	1432	10502
24	1490	10434
25	1546	10350
26	1597	10237
27	1655	10170
28	1710	10084
29	1760	9975
30	1814	9893
31	1863	9784
32	1923	9734
33	1980	9669
34	2034	9592
35	2088	9514
36	2144	9445
37	2194	9353
38	2245	9269
39	2298	9194
40	2351	9117
41	2407	9056
42	2458	8978
43	2520	8935
44	2591	8925
45	2649	8868
46	2701	8794
47	2753	8719
48	2808	8655
49	2862	8586
50	2917	8523
51	2969	8452
52	3030	8405
53	3102	8389
54	3170	8359
55	3239	8329
56	3303	8288
57	3359	8225
58	3412	8156
59	3470	8098
60	3522	8025
61	3575	7958
62	3626	7885
63	3681	7822
64	3741	7769
65	3803	7721
66	3864	7671
67	3928	7625
68	3979	7555
69	4031	7486
70	4086	7424
71	4140	7360
72	4196	7301
73	4252	7240
74	4308	7181
75	4369	7129
76	4424	7067
77	4477	7002
78	4527	6934
79	4586	6879
80	4653	6835
81	4722	6795
82	4780	6739
83	4841	6686
84	4895	6623
85	4947	6558
86	5008	6505
87	5067	6449
88	5124	6391
89	5176	6326
90	5235	6270
91	5285	6204
92	5334	6137
93	5387	6075
94	5438	6011
95	5496	5954
96	5549	5893
97	5606	5835
98	5676	5790
99	5734	5734
100	5785	5671
101	5834	5606
102	5891	5548
103	5945	5488
104	6006	5434
105	6073	5386
106	6144	5340
107	6207	5288
108	6257	5223
109	6313	5165
110	6366	5104
111	6421	5045
112	6479	4988
113	6536	4931
114	6586	4868
115	6636	4806
116	6699	4752
117	6751	4691
118	6811	4636
119	6880	4587
120	6951	4538
121	7016	4486
122	7084	4435
123	7137	4374
124	7195	4317
125	7257	4262
126	7311	4202
127	7369	4145
128	7421	4084
129	7472	4023
130	7526	3964
131	7590	3910
132	7655	3856
133	7714	3799
134	7771	3741
135	7832	3685
136	7883	3625
137	7939	3567
138	8003	3512
139	8096	3469
140	8159	3414
141	8241	3366
142	8299	3308
143	8356	3249
144	8407	3188
145	8466	3131
146	8522	3072
147	8574	3012
148	8625	2952
149	8684	2894
150	8750	2839
151	8807	2781
152	8858	2721
153	8911	2662
154	8966	2603
155	9027	2546
156	9090	2489
157	9150	2432
158	9207	2374
159	9267	2316
160	9325	2258
161	9385	2201
162	9439	2142
163	9493	2083
164	9555	2026
165	9614	1969
166	9672	1911
167	9734	1854
168	9788	1795
169	9839	1736
170	9889	1677
171	9945	1619
172	9997	1560
173	10055	1502
174	10113	1444
175	10176	1387
176	10237	1330
177	10292	1272
178	10345	1213
179	10402	1155
180	10458	1097
181	10514	1039
182	10573	982
183	10634	924
184	10695	867
185	10750	809
186	10802	750
187	10857	693
188	10913	635
189	10967	577
190	11032	519
191	11094	462
192	11159	404
193	11214	346
194	11269	288
195	11322	231
