rf1,rf2,rf3
0.0,0.13,0.87
1.0,0.0,0.0
0.0,0.085,0.915
1.0,0.0,0.0
0.0,0.1275,0.8725
0.0,0.9175,0.0825
0.0,0.925,0.075
0.0,0.1875,0.8125
0.0,0.1525,0.8475
0.0,0.0725,0.9275
0.0,0.0325,0.9675
0.0,0.0,1.0
0.0075,0.6575,0.335
0.0,0.0025,0.9975
0.0,0.0475,0.9525
0.9975,0.0,0.0025
0.0,0.0175,0.9825
0.0,0.73,0.27
0.0,0.13,0.87
0.0,0.0125,0.9875
1.0,0.0,0.0
0.0025,0.1525,0.845
0.0,0.015,0.985
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.1575,0.8425
1.0,0.0,0.0
0.0,0.4675,0.5325
0.0,0.01,0.99
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.045,0.955
0.005,0.035,0.96
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.1425,0.8575
0.0,0.0025,0.9975
0.9875,0.0,0.0125
0.9975,0.0025,0.0
0.0,0.94,0.06
0.0,0.1375,0.8625
0.0275,0.0275,0.945
0.9975,0.0,0.0025
0.0,0.185,0.815
1.0,0.0,0.0
0.0,0.0025,0.9975
0.995,0.005,0.0
0.9975,0.0,0.0025
0.0,0.035,0.965
0.0,0.025,0.975
0.0,0.075,0.925
0.0,0.0025,0.9975
0.0,0.0675,0.9325
0.0,0.0,1.0
0.0025,0.075,0.9225
1.0,0.0,0.0
0.0,0.0325,0.9675
0.9775,0.0175,0.005
0.04,0.145,0.815
0.0025,0.5425,0.455
1.0,0.0,0.0
0.0,0.12,0.88
0.0,0.9875,0.0125
0.0,0.0275,0.9725
0.0,0.4675,0.5325
0.0,0.035,0.965
0.0,0.875,0.125
0.0,0.0,1.0
0.995,0.0,0.005
0.0,0.0375,0.9625
0.0,0.015,0.985
0.0,0.1625,0.8375
1.0,0.0,0.0
0.005,0.0225,0.9725
0.0,0.0075,0.9925
0.0,0.075,0.925
0.0325,0.035,0.9325
1.0,0.0,0.0
0.0,0.995,0.005
0.0,0.0075,0.9925
0.0,0.525,0.475
0.0,0.0,1.0
0.0,0.9625,0.0375
0.0,0.0225,0.9775
0.0,0.0725,0.9275
0.0,0.0,1.0
0.0,0.0825,0.9175
1.0,0.0,0.0
0.0,0.2925,0.7075
0.0,0.875,0.125
0.0,0.36,0.64
1.0,0.0,0.0
0.9975,0.0,0.0025
0.0,0.985,0.015
0.005,0.0275,0.9675
0.0,0.005,0.995
0.0,0.0075,0.9925
1.0,0.0,0.0
0.0125,0.0475,0.94
